SAVOONGA AIRPORT    AK - 702035                                                 														
 63 deg    41' N  170 deg    30' W - Elev   16m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	7	0	0.1	1.1	3.2	5.4	8.1	10.8	13.5	11.8	11.8	9.2	6.3	6.3	3.5	2.5	3.1	1.5	1.4	0.3	0	0	0	0	0	0	0
	8	0	0	0.4	1.4	2.7	5.1	8.8	10.1	10.7	11.6	11.9	12.1	8.2	4.9	3.8	3.4	1.8	1.7	0.9	0.4	0	0	0	0	0	0
	9	0	0	0.3	0.9	2	3.7	6.7	8	8.8	12.2	10.9	11.2	10	6.9	5.8	4.1	2.3	2.9	1.4	1.1	0.7	0	0	0	0	0
	10	0	0	0.2	0.6	1.4	2.7	5.4	7.7	8.5	11.7	11.6	11.2	10	8.9	5.4	5.3	1.5	1.6	2.2	1.9	1.8	0.5	0	0	0	0
	11	0	0	0	0.2	0.6	1.3	2.5	4.5	5.6	9	9.7	12.3	11.1	9.2	6.3	7.5	2.8	3.6	3.5	3.1	2.5	2	0.4	1.2	0.5	0.5
	12	0	0	0.2	0.6	1.3	2.6	4.9	6.7	7.7	9.2	10.9	11.6	10.5	8.5	6.6	6.2	2.9	2.2	3.1	1.2	0.6	0.5	0.6	0.3	0.7	0.4
PREVAILING DIRECTION BY HOUR                                                    																											
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23		
	ALL	90	90	100	100	90	100	90	90	90	90	90	90	70	60	70	60	30	60	90	80	70	100	90	90		
	1	30	100	30	100	50	90	30	40	30	50	50	30	30	90	50	40	100	30	40	40	30	30	30	90		
	2	80	90	90	90	80	100	60	60	80	100	100	90	100	70	80	90	100	100	90	90	90	90	90	90		
	3	90	110	100	100	110	100	100	80	90	100	100	100	100	80	90	100	60	70	90	50	80	100	100	90		
	4	80	40	60	70	50	60	90	100	50	60	100	90	40	20	20	20	30	10	40	50	40	60	80	70		
	5	80	70	90	100	90	90	90	90	90	80	90	90	90	90	80	80	90	70	90	70	80	70	80	90
	6	260	80	240	80	260	240	250	250	250	260	260	70	70	60	70	60	60	60	70	270	60	260	70	260
	7	70	260	260	250	240	240	240	240	250	260	50	70	60	60	70	60	70	60	270	270	70	270	260	70
